youtube_link,caption,download_link,success,downloaded
https://youtu.be/EYr7tJCf8C4,1__تئوری_آشوب_به_زبان_ساده_جلسه_۱_چارچوب_فیزیک_نظری_قسمت_۱,https://srv5.dlmate.cc/dl?hash=VagZEOG6oZ3Vi5BObVOyUaINslNWT%2FEuAzG91Cko6me6AAiKroc0FXoBkw7eAy6MSMicPV7I90VR9KsjpqpnPVuqrClKX13eD%2BqZEBrR1%2BoaEivRHI9u2hUIm2V1Xtcu13cNIl3txs6rN7Dxv1sKzbiMaHX3f4UyZYc7bJOMH4z1u%2BhfzcZY7OS7UeyhtqQz0p7A2bDlQpyf2wPPYxQwCwC5SmETWRhcap0qruxqzd%2FPbGVMPPexSoJO3dscmCTGCd%2Faz%2Bcqfhj6vxUP5gUpD6UIGUeNUUyHzgdFJf89%2BFf133Pbjp6dVdycnWkwnm6TARBlqI9%2F9UXT2PWEQo4qhpkF8UnVKQsYanqRYNUhHt5A7EsBzMP5bfV3WZKDQHmi4j%2F1lmiJtZoH428iQ0Rm%2BxCFPxfVzDFMfSiCuRTx6I%2Bf3h%2FRgBt4DeNxx9x0JMjooJM%2Bp%2BNGbB9AoOLWdZPyFyniLSh6lKRj4YY%2Fus5YjH%2BsQLLmD7npDvQxmJlAhlViZWxGcGbXEB6yLYAAMzPG0GMMJ%2BN7ocbvlA2BAUfx1VKG1iExiPAI5V5Ce%2Fv%2BAs6U,True,
https://youtu.be/5_rSxy7uk-0,2__تئوری_آشوب_به_زبان_ساده_جلسه_۱_چارچوب_فیزیک_نظری_قسمت_۲,https://srv4.dlmate.cc/dl?hash=bzk%2FQvyCMB1LmEWWdGuwg9JVo6yh%2FlCw8%2Bqx27Npef9ulorpOEXQkjRoInOR56fEm5cPPGW46bQTLH2vHTv56ldDKI7Pta2FbNDxnkAghP1DzmaZZdqjGGJRhTERy0p7I%2F66oNOBbItEFpEgs4BkMRT4CkW39EaU%2FGFX2Us%2FsrZ41a9vYOHFsLke043c9lHi0D65zh9rmrK4S7sAhulBZsNnQgZpMUDYCa%2Fi9ZORmPk3guju7U6oA4arwSmTLjAfCzanxsYCjKbeN%2BtPcFdA2FvAtSCt8c%2B005mm8AThkGZSic4ZbzzvVd48wEEIjrSLSwuJKlvsf9U72rAfAACumAWDeOAxobqd2mt8HNjzB0pRcRZJgMd3qMcBQl2KmnUDs%2B2BgENoSXf0QDYRZx6WZtA4HpEt39BuCMB%2BFfiz4wgdg7w468MueIWB9FxH214El3jTaiRVGuDleFecMLO0U0oAy8c4wbnH4rGA%2F4d%2BzgT6K5n8DTKU90471bxAZ082EZc0ROe4FYIJ9%2FQty5K2ApH3q008JvSQearL6t1L4B9AV92B8lmo2Wsy%2FW7iidIY,True,
https://youtu.be/rn_WmM45cGc,3__تئوری_آشوب_به_زبان_ساده_جلسه_۲_اجزا_و_رابطه_بین_اجزا,https://srv2.dlmate.cc/dl?hash=9%2Fl%2B9Dbam7N%2B2u6u8PR4ZSBMzaoAnafD9fMSaO0BwebxD1c%2FSNDr89xPx1qnkYFDtUe5LjmYTOlDP4iVbJAs4loMlmcsf3tmDwjT%2FB5JxMaohGD0gh3K2icKAVjn084NbSgXrNYvTV1%2B6UejD57WPKOUI%2BbzGjRGwgtyTAQEqQJvOiBmjRT%2BB4NsThad1Shx0gCzaMdT2mp3QjqxPn%2BlH5iT8s0uHUwkvbvgBPSkBKlkopSPPdrysxhKCXakz%2Fa9D4zyerHBAVJvHChH%2BlaJpafD3sgTbThpMYTodvcjDV26zPe3oYXapAGMEKouaObamHU5%2ByHruTyaHctsJcXHXe6srST3Kn4S4stF6X0paiJTE8%2BVRgYhMjZnTpgZzabwoMsI6va%2B5DMATOrnKyn%2BhLl%2FvCGnGxwEzGYbK9Kl3R%2FpHOwX1PENVspZcC%2Fnj%2BC60vzZlVHscXOLk2np9J5Utxe%2FNRRMsCOqGUlBjaxQXkfSBYB2mqt8MDfggMqtoCMrXd%2B6iOM4Nstr%2BtZ%2FtUHxoRPP%2F6Tva%2B2XIqbyngA2ck0%3D,True,
https://youtu.be/xH1BOnD0tOE,4__تئوری_آشوب_به_زبان_ساده_جلسه_۳_بودن_و_شدن_قسمت_۱,https://srv5.dlmate.cc/dl?hash=Wpo%2BjblUzAzuBLEVVyfsS18u4emW1rf3yYW4%2BmZzjlpXAbP20wXOoNC5EztUZ8b0%2BP%2BYOYQNZIj4voUT0W8ZHDTMy4I9AwI3uDaPAwH%2BNjGbuO5zeV3ZyNJhKBlsWX80XhsmG%2B5CDLVvcMd4RPyfrrM92qA4RhuR8kcZhLFS8vk95qpt%2B4bm5Kn3SDBlgAxY5%2BzMeG513SCgt5gM6Ksp0hc9xBlbQjXkIYd8%2FEEqQzH3Rln7ZEBydEc1RsXIiBpct2WkXLFqCyankOgWg6LHFIGvgFS5vivyWE8JDyPuOA%2FcIUN%2FNzrtG%2FMvseVB9s8pLkkzEK1csBRLd1OlppJMP2GE1SvSDPvbks8tBhrJnNQeMK2D50goHSnvqmB7a%2FR4j%2FdBxGJMp%2Bs3f2bGOkfP7QHyTuIWKB4GKGjQnkY8aeS7%2FqbRsZi9qCeQ0aXUopYnLrjjkWqNazFApdGn6ZO7ZGnIyfiggAI9wH4fnb4jDewfQTcj1514rmPZQ3LepHXA,True,
https://youtu.be/tErALPjnCIE,5__تئوری_آشوب_به_زبان_ساده_جلسه_۳_بودن_و_شدن_قسمت_۲,https://srv9.dlmate.cc/dl?hash=j0ylAM1ELl%2FwvXiALgrvsrGRHwo%2FJ9kuLQGbCSPfKScwW9fgnpTNH4a7G9SetwovehZ26ZM2AokyyfdlPey7W45dkDxm293X%2BMj6%2FnK5lMfwLI4vsGphbd9x3eFapZmvP2jWIvOvXXAe0xXsTo079Qar%2BNZvbuU2oreHcbSMJi7%2Fue%2BULLgNOWfSMal5jq3wmhUM%2FBPYUGiPf3IVvqPP%2F54sWEIPYTuRhZVvGDpq4j5NOP%2FaRCKjCPcNqTEp2pkqQfgaJdTvCXGG6JTajebmYrD%2BAZ%2BgaIBpwMoSOqWHPZYATdhaRjGlLlyn8JLQhAGAhitQ5oreEmfMG5XsdkgmWWrSDJBgM%2BfnbUcVZ9PSE3GqDTlPSdRmVufZCGQTL%2FZ5xwFTpXwVwtYA6%2F%2B6QmlhFQmVoUCEEEKA0XkGaieVxb7vTvF9XFmZ16CL65ZTZcKLIzhdoLzw8jFzOuq9UPzxRaYzKwaYZFFD585KoqesToFOMSIDP1CV0JWLct0ypetL,True,
https://youtu.be/7zrOhHfZKI0,6__تئوری_آشوب_به_زبان_ساده_جلسه_۴_جهان_فراکتالی_و_ابعاد_فراکتالی_قسمت_۱,https://srv2.dlmate.cc/dl?hash=1XG4Jx0CzZ82tBs6MnBhm6XGB0Cb2SJECHZfUGhtzmH3V2PvRDADiHuJMxLM5r8BrX5QGWH58WeZMfcqtshy4LYbaZ%2B5iRXYdfAYp6DElKjf7%2FIoNDqIipKRMyDPJPz3GHaYQol%2FWOJBLW5riUropLYqkCmvENBb57rtrEbR2fJ1bslabywtI15pQVaWnUo7MMZQHFYCbbYT0iFDPgid4et1xZhuj4p0aHtgowA4jqh8vXxSF56KBED44iX5yekpy0ZHqt3z3rVyPCSZBh9zrtuz9g%2FssfrMzhpDBnTnI2tby4TVX%2FkDH53PyulfAcuy9SacYFeWJhYSIdCGIX8ei06dl9cXzY32BT2lk%2FCRZEM1dlGnR78e1FldGgrCrRwb8t1MkNrzNtbMvffaYiIjpJ2IZX6NXwb%2B7sXxSW7Ea9ly7BSEE%2FiBzbTN2osTWToludZizWzqYr3DVssgisoL45u1HheleYS7%2BZlpM1aa8D1Sg7nTXix3s6GLt%2FF2Z4MDgjx9kpNMi4PxW29Znbk1v0FmUnFEgMt2DGmwCFFvs6kn7%2Fny8MKLY6It2zFAHBpebTmIQ95C%2FXUsF7lPp8LaiIs6PcrPDoR%2Bq6ErFUimO11Nq56gv55h2cKwXOp4oAopBpPvhVw2S%2FfqPL56OJUK9A%3D%3D,True,
https://youtu.be/MEEiYyMOZBw,7__تئوری_آشوب_به_زبان_ساده_جلسه_۴_جهان_فراکتالی_و_ابعاد_فراکتالی_قسمت_۲,https://srv9.dlmate.cc/dl?hash=2imG9q%2FQNKykIesEQYhx5t98P6Vf6WWZyeD4fWTwRqmnUoyI%2FkQhr0t7XUm%2F2USRl%2Fhlq3LDtjcBce9mJeZSpHeKLbUQ1aYaabxmeRBBNIa2YufjLrWQ9Kgi0CwPVyWDCLzzs5qF1vniCSzBBpmW9i6w8nf4fsJeUF9o9JP9BQpyAlZyoFZqj6%2FOAR5V%2BBfvHzqxxV1ZaHGeH4i%2FIVPrSNYHaVFV7%2BPEq5b05AKWMrN2sidTptuFScsZSficSdz1kyES44DOlm19a5PwBpgCEceiepb78oApQHJZU6ohSfo0YfqCuW%2FfaJCrknoyuTIBeFJHVw18Zey9M6FIlYYFYagsif63jjpWXXg9w379Lg37kxf8Kd3OEmaYvXRa%2BCsJ8j%2BIIVfcPso8Cb5law6prVvc4w%2BZ3BZ9nRGYEOfgq2JG9G0lc517Nel3SjV5VC352z21ZQLYHvABdVGE3WgMzlRnawZ36kbfou%2Bz6BTfbmbCVD3DiD4VNJDlB9a3WLGclt%2B51tM%2FdVvLs7P9udbNqwUlPjiug0Ne8AOmE%2FXNO5pROWQDmfJPX6nIlY%2B4vNiFn%2BvUXlPTbqEFmwTQ5pnOtXPAVVjf%2Bonv%2FS9D4kfrMpwe6JfK8eVXwQywzKYDbM2Bf9ZCZ%2FKAuaDgrKxlSHbt9Q%3D%3D,True,
https://youtu.be/uRzcz-bNSZ8,8__تئوری_آشوب_به_زبان_ساده_جلسه_۵_دوری_که_در_آن_آمدن_و_رفتن_ماست_قسمت_۱,https://srv6.dlmate.cc/dl?hash=vQRKZ7%2BQDkQru%2BCpVGthkceSLTgX01jnFjxfRHEXwuKb5sXFhZZOsOYWoyjz9mvmmKXpQik6%2BqerxArN5uzrx2KY8uxGIu6Murcu8i2C8SbiVkWVSjVHmo6Hh40q1jjuQQGBRAAC8OOMgrZ48QPNDJou3a2%2F0Gjx9bfNbPL5oJ7WJHkPmWw9DNnLgIJdlR4U7KrK7GBbwVJHQiV4stjB5YHu6mxKO001Z06HFJ%2Brnyr%2BzJupJ8OHEYz%2FZZEQVy%2BficTDXYcWNU6GhkG4e0JiaXQBYr8UMET%2B%2FJ1JPjKzr0RSK3d43uYaocQJ1bgw5E98hXT86JC58NW6ftx6ZMGj6RfC1VijD2GJaz%2F6HSobcMJbnpoVMH%2B7nfkQX%2B3ei4FN0aSarztV3RjQg9YSWMaQsAfha5wdhhLKmvXbo1Fy%2BIKqMnCoKNQxNHE24yhmTQmsfCzYwlHuckNGm4QUfP1m9roueb8qAruLdEg%2FBBT4pQf2Ei8RA9MuHZzeGDq3KTaWsHrcf7WRAMw%2Bg9lN72C7PQ79whoCYKsLEtF5%2BN3zKpfYIsiYw1A%2BJKQb0TAoAN4PkJozgtfBrMl8PiNesQD1Rfyx8PK3FGVKymed%2BD3x5sjqmUJhj7uBPL2ki87tcRvl,True,
https://youtu.be/wpupUxaVaQU,9__تئوری_آشوب_به_زبان_ساده_جلسه_۵_دوری_که_در_آن_آمدن_و_رفتن_ماست_قسمت_۲,https://srv9.dlmate.cc/dl?hash=0ZE85A8sFoavEIOUPJeH0qBJfH7KUnID0c6G3Z2LjZrImRS9F7n5YU5R9tIoWRpe1PzVw%2BSf8dQ7qT3Kpe9YBgjZqyzSEtVD1SqMW3xZ7MeRcpPga93EREAtQ2I9EU2QcljzlYiyjjhLdrs6XwqVW1qglehZEz7z78%2Bv3AXXKGMI1dbnRhyAKlDM3bXZVXNwVpQReQPTyOn0r9owqbOMw%2BfgnXPTbz0WOwSBZa90WUFzZqQ7fRAKhoAH4S87UA39szwY2dU8qE2jdUtIW8ulUyD54uyS2LwP8odFhyquVqSEeV%2FeYAMRqlQP7%2Fhc2pJ12S9AQawjFGUTOAEhZMieixuinkZKvAIJVLDlw44Ta8Cb7P5RgvvRzfUBL2%2F924R3gRxFGW%2FJk9M79kUn%2B8ACX%2FjQsW5fiuWu5Zxuok3ZdyXVN3HvDMzCQ9yBDOohyAB7uv9zWYqoWBaOlWwyo8wbnhVE15zzLZ6KQYAsJfni9n9p22K8ClwvX%2FcoxNLBF1fmkAAzkc96Q2Hh0OxsX4dU1G%2FlEXH1y2%2FdH%2BVLLNn9xGFA65Jrmq6RbmNsJudyErITzOYQKP1MHJZGInXf55cKaZ6%2BmepaJ1QeA473Cz7fq0qgfb%2BOL6iV07DPxcP9azBs,True,
https://youtu.be/jqWKdcPaEi8,10__تئوری_آشوب_به_زبان_ساده_جلسه_۶_دوشاخگی_در_فضای_فازی,https://srv9.dlmate.cc/dl?hash=YJrqe2YI8MoTBBbq%2BJ6MJc6uNRasxZeNrb6gv9lxzckRJTXNj2z6QCE2O0a8S%2FPDzivl1%2Fs5GEZEwewI%2Fmv1EgZJJutkY8wWWvTBu20%2FT9KskxPwWoSwWntcLgL%2BP%2FthUELYa7gGo0cn41BRsaFycllQ3QHxxkJ%2BgjQBGhSeYPcBFE42EntuypC%2BZhJyJG4aJzpyIzLgNpVnjBiZ8D2dJLxsdlqsR%2BCUdhLp9SqCvraTdTp309TP6hPEXHvlVUZcwdc1BWRXAuN%2BHkKRmuU1LvtNrskXSk5cUM7TawfhRTm4Ye7B4iQ4ZnaDPBKuXmNu803eQikgquqSBAU36px0n3WN%2B41LNW9mOUio2WYLBY%2FlhtidjjjOlbPoCi9RbEPGsIWjwgozSeXzpAXzs8O6tHxl64tUAKhV6SmawfcGcwZuYKpwD5DdbTACp685DKllloXBjcD51fDmkHg3hQXaBqEocIeUtVcS0O%2BO65eYg6rfknrDlivs02TraEmxXKxmkiBDKrdaIhQfTLuWs4aQIw%3D%3D,True,
